STATEFP,State,County,n_allschools,dsug_allschools,gr_allschools,avgtf_allschools,n_public,dsug_public,gr_public,avgtf_public,n_private,dsug_private,gr_private,avgtf_private,n_4yr,dsug_4yr,gr_4yr,avgtf_4yr,n_not4yr,dsug_not4yr,gr_not4yr,avgtf_not4yr,n_public4yr,dsug_public4yr,gr_public4yr,avgtf_public4yr,n_private4yr,dsug_private4yr,gr_private4yr,avgtf_private4yr
04,AZ,04021,809,2041655,525486,16184,308,1263423.0,198779.0,8300.0,496,778232.0,326707.0,29003.0,404,1498058.0,525486.0,19357.0,400,543597.0,0.0,7411.0,121,824803.0,198779.0,10191.0,283,673255.0,326707.0,30587.0
04,AZ,04023,669,1580356,495938,20104,213,947807.0,179540.0,8778.0,456,632549.0,316398.0,37122.0,356,1190506.0,495938.0,23856.0,313,389850.0,0.0,8619.0,79,636253.0,179540.0,10227.0,277,554253.0,316398.0,39521.0
04,AZ,04025,771,1681343,527538,18173,259,1011621.0,167815.0,8465.0,510,669722.0,359723.0,32869.0,400,1177737.0,527538.0,22630.0,369,503606.0,0.0,7730.0,90,597265.0,167815.0,10509.0,310,580472.0,359723.0,35113.0
04,AZ,04027,831,2084436,659280,19962,272,1251233.0,221240.0,9073.0,555,833203.0,438040.0,36225.0,442,1526862.0,659280.0,24299.0,385,557574.0,0.0,8137.0,97,787995.0,221240.0,10916.0,345,738867.0,438040.0,38416.0
05,AR,05001,812,2045268,517319,15965,287,1319190.0,189071.0,6713.0,524,726078.0,328248.0,32807.0,421,1401174.0,517319.0,20518.0,390,644094.0,0.0,6060.0,127,798532.0,189071.0,9097.0,294,602642.0,328248.0,35672.0
05,AR,05003,931,2158675,639576,19332,255,1297982.0,222115.0,9232.0,675,860693.0,417461.0,34797.0,493,1571930.0,639576.0,23129.0,437,586745.0,0.0,9251.0,102,849199.0,222115.0,10932.0,391,722731.0,417461.0,37651.0
05,AR,05005,1065,2637651,775819,19260,314,1617326.0,255176.0,8265.0,750,1020325.0,520643.0,36908.0,552,1873496.0,775819.0,23816.0,512,764155.0,0.0,8185.0,128,1011638.0,255176.0,10072.0,424,861858.0,520643.0,40146.0
05,AR,05007,573,1446791,328367,16510,204,924894.0,163514.0,8605.0,367,521897.0,164853.0,30862.0,288,1074975.0,328367.0,19721.0,283,371816.0,0.0,7349.0,86,624627.0,163514.0,10357.0,202,450348.0,164853.0,33072.0
05,AR,05009,565,1608984,452771,17185,211,857719.0,125037.0,7610.0,352,751265.0,327734.0,28050.0,302,1241736.0,452771.0,20166.0,261,367248.0,0.0,7136.0,82,551752.0,125037.0,9079.0,220,689984.0,327734.0,28941.0
05,AR,05011,683,1968831,486113,15543,248,1169011.0,182224.0,8018.0,435,799820.0,303889.0,26748.0,337,1541149.0,486113.0,17787.0,346,427682.0,0.0,7527.0,104,820413.0,182224.0,9263.0,233,720736.0,303889.0,27679.0
