STATEFP,State,ZCTA,n_allschools,dsug_allschools,gr_allschools,avgtf_allschools,n_public,dsug_public,gr_public,avgtf_public,n_private,dsug_private,gr_private,avgtf_private,n_4yr,dsug_4yr,gr_4yr,avgtf_4yr,n_not4yr,dsug_not4yr,gr_not4yr,avgtf_not4yr,n_public4yr,dsug_public4yr,gr_public4yr,avgtf_public4yr
42,PA,15765,7,15568,3215,17258,3,12018,2452,12930,4,3550,763,31909,4,13838,3215,17935,3,1730,0,11839,2,10740,2452,13419
42,PA,15767,4,12504,3640,12697,3,12279,3640,12593,1,225,0,18384,2,12091,3640,12525,2,413,0,17745,2,12091,3640,12525
42,PA,15771,1,8294,2452,13144,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15772,2,8519,2452,13282,1,8294,2452,13144,1,225,0,18384,1,8294,2452,13144,1,225,0,18384,1,8294,2452,13144
42,PA,15773,9,7708,763,22174,3,4013,0,12746,6,3695,763,32414,3,5544,763,25103,6,2164,0,14670,1,2446,0,14352
42,PA,15774,4,9986,2452,12746,4,9986,2452,12746,No Campuses within 45 minutes,,,,1,8294,2452,13144,3,1692,0,10797,1,8294,2452,13144
42,PA,15775,6,7216,763,21730,3,4013,0,12746,3,3203,763,32987,3,5544,763,25103,3,1672,0,10546,1,2446,0,14352
42,PA,15776,2,4022,1188,11576,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173
42,PA,15777,1,8294,2452,13144,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144,No Campuses within 45 minutes,,,,1,8294,2452,13144
42,PA,15779,12,20113,3117,16188,6,16145,2452,11603,6,3968,665,34843,4,12976,3117,19571,8,7137,0,10037,2,9811,2452,13330
42,PA,15780,2,8519,2452,13282,1,8294,2452,13144,1,225,0,18384,1,8294,2452,13144,1,225,0,18384,1,8294,2452,13144
42,PA,15781,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,
42,PA,15783,2,8482,2452,13229,2,8482,2452,13229,No Campuses within 45 minutes,,,,1,8294,2452,13144,1,188,0,16980,1,8294,2452,13144
42,PA,15801,2,4022,1188,11576,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173
42,PA,15823,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,
42,PA,15824,2,4022,1188,11576,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173
42,PA,15825,2,4022,1188,11576,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173
42,PA,15827,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,,1,225,0,18384,No Campuses within 45 minutes,,,
42,PA,15828,2,4022,1188,11576,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173
42,PA,15829,2,4022,1188,11576,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173
42,PA,15840,2,4022,1188,11576,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173,1,225,0,18384,1,3797,1188,11173
